date,year,month,decade,coal_ppi_nominal,coal_index_2024base,mom_pct,yoy_pct,rolling_vol_12m,shock,direction,event
2001-06-01,2001,6,2000,94.1,32.43047637647153,-6.181455633100697,5.9684684684684575,3.896392267564782,True,down,
2001-07-01,2001,7,2000,98.0,33.77456625817439,4.144527098831041,9.619686800894844,4.032652950940865,True,up,
2001-08-01,2001,8,2000,96.4,33.223144768245014,-1.6326530612244872,12.09302325581396,3.8499236026581407,False,down,
2001-09-01,2001,9,2000,96.3,33.18868092512442,-0.10373443983403563,11.587485515643102,3.859327694802519,False,down,
2001-10-01,2001,10,2000,97.2,33.498855513209705,0.9345794392523477,12.630359212051001,3.8470591706826434,False,up,
2001-11-01,2001,11,2000,101.4,34.94633692427432,4.320987654320985,16.820276497695865,3.95445891590873,True,up,
2001-12-01,2001,12,2000,97.0,33.42992782696853,-4.339250493096647,10.102156640181615,4.283234155218623,True,down,
2002-01-01,2002,1,2000,101.4,34.94633692427432,4.53608247422681,16.284403669724767,4.357802808653403,True,up,
2002-02-01,2002,2,2000,100.5,34.63616233618904,-0.887573964497046,5.125523012552313,3.51741009008313,False,down,
2002-03-01,2002,3,2000,101.5,34.9808007673949,0.995024875621886,7.180570221752891,3.4908680169242174,False,up,
2002-04-01,2002,4,2000,101.6,35.01526461051549,0.09852216748766907,5.503634475597097,3.4773963524141553,False,up,
2002-05-01,2002,5,2000,101.6,35.01526461051549,0.0,1.2961116650049842,3.282249457449655,False,flat,
2002-06-01,2002,6,2000,99.7,34.360451591224354,-1.870078740157477,5.951115834218923,2.7117261941041217,False,down,
2002-07-01,2002,7,2000,99.4,34.257060061862596,-0.30090270812437314,1.4285714285714235,2.463287410297989,False,down,
2002-08-01,2002,8,2000,98.1,33.80903010129497,-1.307847082494984,1.763485477178417,2.443673846226287,False,down,
2002-09-01,2002,9,2000,97.6,33.63671088569205,-0.5096839959225274,1.349948078920038,2.4506527922834342,False,down,
2002-10-01,2002,10,2000,98.6,33.981349316897905,1.0245901639344357,1.4403292181069949,2.4534448958609163,False,up,
2002-11-01,2002,11,2000,99.2,34.18813237562142,0.6085192697768749,-2.1696252465483234,2.085731770459459,False,up,
2002-12-01,2002,12,2000,98.0,33.77456625817439,-1.2096774193548376,1.0309278350515427,1.6703171325046589,False,down,
2003-01-01,2003,1,2000,98.8,34.05027700313908,0.8163265306122325,-2.564102564102577,0.970310414553882,False,up,
2003-02-01,2003,2,2000,97.7,33.67117472881263,-1.1133603238866363,-2.7860696517412853,0.9866551918836387,False,down,
2003-03-01,2003,3,2000,99.0,34.11920468938025,1.3306038894575156,-2.463054187192115,1.0284262657229724,False,up,
2003-04-01,2003,4,2000,101.7,35.04972845363608,2.7272727272727337,0.09842519685039353,1.3332349157753458,False,up,
2003-05-01,2003,5,2000,101.3,34.91187308115373,-0.3933136676499527,-0.2952755905511806,1.3384966380311036,False,down,
2003-06-01,2003,6,2000,100.4,34.601698493068454,-0.8884501480750151,0.7021063189568633,1.2413876292662906,False,down,
2003-07-01,2003,7,2000,99.0,34.11920468938025,-1.394422310756982,-0.4024144869215318,1.3090106856206263,False,down,
2003-08-01,2003,8,2000,99.0,34.11920468938025,0.0,0.9174311926605672,1.245466200341894,False,flat,
2003-09-01,2003,9,2000,100.6,34.67062617930963,1.6161616161616044,3.073770491803285,1.3033140694852046,False,up,
2003-10-01,2003,10,2000,100.7,34.70509002243022,0.09940357852884496,2.129817444219073,1.2811720781525504,False,up,
2003-11-01,2003,11,2000,100.9,34.77401770867139,0.19860973187686426,1.7137096774193505,1.2742486200991865,False,up,
2003-12-01,2003,12,2000,100.1,34.498306963706696,-0.7928642220019988,2.1428571428571352,1.2390374172761554,False,down,
2004-01-01,2004,1,2000,105.5,36.35935449221835,5.39460539460539,6.781376518218618,1.9515204762132816,True,up,
2004-02-01,2004,2,2000,107.5,37.04863135463007,1.8957345971563955,10.030706243602872,1.90907000510134,False,up,
2004-03-01,2004,3,2000,107.3,36.97970366838889,-0.18604651162791308,8.383838383838382,1.9220719050933663,False,down,
2004-04-01,2004,4,2000,111.1,38.28932970697117,3.5414725069897512,9.242871189773826,2.0127680037213955,True,up,
2004-05-01,2004,5,2000,110.3,38.013618962006475,-0.7200720072007227,8.88450148075024,2.031872921474321,False,down,
2004-06-01,2004,6,2000,109.0,37.56558900143886,-1.1786038077969185,8.565737051792821,2.0544885437508422,False,down,
2004-07-01,2004,7,2000,109.3,37.668980530800624,0.2752293577981568,10.404040404040394,1.9533440423567643,False,up,
2004-08-01,2004,8,2000,108.9,37.53112515831828,-0.36596523330282293,10.000000000000009,1.9705226525449795,False,down,
2004-09-01,2004,9,2000,110.4,38.04808280512707,1.377410468319562,9.741550695825051,1.9628864941009367,False,up,
2004-10-01,2004,10,2000,111.1,38.28932970697117,0.6340579710144789,10.327706057596808,1.9517004413398864,False,up,
2004-11-01,2004,11,2000,110.3,38.013618962006475,-0.7200720072007227,9.316154608523286,1.996624601616978,False,down,
2004-12-01,2004,12,2000,110.1,37.94469127576531,-0.1813236627379866,9.990009990009984,1.9607881030738756,False,down,
