Month,lat,lon,ssh
2034-07,24.025,-94.95,-0.25712205258064513
2034-08,24.025,-94.95,-0.21738883193548386
2034-09,24.025,-94.95,-0.13853663256666668
2034-10,24.025,-94.95,-0.1885835619354839
2034-11,24.025,-94.95,-0.10866907506666666
2034-12,24.025,-94.95,-0.10959460696774194
2035-01,24.025,-94.95,-0.1458828069032258
2035-02,24.025,-94.95,0.004749915966178571
2035-03,24.025,-94.95,-0.06802728663870967
2035-04,24.025,-94.95,-0.229709047
2035-05,24.025,-94.95,-0.20300170516129035
2035-06,24.025,-94.95,-0.201618198
2035-07,24.025,-94.95,-0.14273824238709676
2035-08,24.025,-94.95,-0.19609126096774193
2035-09,24.025,-94.95,-0.210375162
2035-10,24.025,-94.95,-0.2559040935483871
2035-11,24.025,-94.95,-0.23071365500000002
2035-12,24.025,-94.95,-0.15091492919354837
2036-01,24.025,-94.95,-0.160850695483871
2036-02,24.025,-94.95,-0.1468891822413793
2036-03,24.025,-94.95,-0.0920675969032258
2036-04,24.025,-94.95,-0.018427797086666666
2036-05,24.025,-94.95,-0.1648553773548387
2036-06,24.025,-94.95,-0.20398435866666667
2036-07,24.025,-94.95,-0.11074572687096775
2036-08,24.025,-94.95,-0.1074968308516129
2036-09,24.025,-94.95,0.08118441643333334
2036-10,24.025,-94.95,-0.032714860632258064
2036-11,24.025,-94.95,-0.22477671033333332
2036-12,24.025,-94.95,-0.2217462735483871
2037-01,24.025,-94.95,-0.27441894806451617
2037-02,24.025,-94.95,-0.18384660035714287
2037-03,24.025,-94.95,-0.07293673622580644
2037-04,24.025,-94.95,-0.214358782
2037-05,24.025,-94.95,-0.2553771480645161
2037-06,24.025,-94.95,-0.22106406099999998
2037-07,24.025,-94.95,-0.1436106841935484
2037-08,24.025,-94.95,-0.14858196612903224
2037-09,24.025,-94.95,-0.17444933033333332
2037-10,24.025,-94.95,-0.10406978961290322
2037-11,24.025,-94.95,0.12927070153333334
2037-12,24.025,-94.95,0.027004556270967744
2038-01,24.025,-94.95,-0.09755264025806452
2038-02,24.025,-94.95,-0.3061365521428571
2038-03,24.025,-94.95,-0.2822736122580645
2038-04,24.025,-94.95,-0.3081781456666667
2038-05,24.025,-94.95,-0.2584532670967742
2038-06,24.025,-94.95,-0.18251538966666664
2038-07,24.025,-94.95,-0.06699745736935485
2038-08,24.025,-94.95,-0.19606747677419356
2038-09,24.025,-94.95,-0.24382064
2038-10,24.025,-94.95,-0.25176441935483873
2038-11,24.025,-94.95,-0.19919375466666667
2038-12,24.025,-94.95,-0.1580267541935484
2039-01,24.025,-94.95,-0.19309847096774194
2039-02,24.025,-94.95,-0.23653649357142856
2039-03,24.025,-94.95,-0.16292584668709678
2039-04,24.025,-94.95,0.05516064829
2039-05,24.025,-94.95,-0.039842007738709675
2039-06,24.025,-94.95,-0.13551388306666665
2039-07,24.025,-94.95,-0.17501083225806452
2039-08,24.025,-94.95,-0.25523187999999997
2039-09,24.025,-94.95,-0.2647120863333333
2039-10,24.025,-94.95,-0.19201802419354838
2039-11,24.025,-94.95,-0.21433433333333335
2039-12,24.025,-94.95,-0.18575067774193546
2040-01,24.025,-94.95,-0.12179247725806451
2040-02,24.025,-94.95,-0.05758612215862069
2040-03,24.025,-94.95,0.12067450016129032
2040-04,24.025,-94.95,0.08518394886666666
2040-05,24.025,-94.95,0.01807121597419355
2040-06,24.025,-94.95,-0.11405396720000001
2040-07,24.025,-94.95,-0.20826925548387096
2040-08,24.025,-94.95,-0.22500502838709677
2040-09,24.025,-94.95,-0.228186735
2040-10,24.025,-94.95,-0.13472870519354838
2040-11,24.025,-94.95,-0.1668873721666667
2040-12,24.025,-94.95,-0.09348227399677418
2041-01,24.025,-94.95,-0.11518560751612902
2041-02,24.025,-94.95,-0.1114706644642857
2041-03,24.025,-94.95,-0.1470399675580645
2041-04,24.025,-94.95,0.10196445109999999
2041-05,24.025,-94.95,-0.04494316369032258
2041-06,24.025,-94.95,-0.213557436
2041-07,24.025,-94.95,-0.2284567809677419
2041-08,24.025,-94.95,-0.21184816516129035
2041-09,24.025,-94.95,-0.25194195166666666
2041-10,24.025,-94.95,-0.15628728870967742
2041-11,24.025,-94.95,-0.13381169359999998
2041-12,24.025,-94.95,-0.26000114612903225
2042-01,24.025,-94.95,-0.2409400106451613
2042-02,24.025,-94.95,-0.1949989235714286
2042-03,24.025,-94.95,-0.2358052564516129
2042-04,24.025,-94.95,-0.210517426
2042-05,24.025,-94.95,0.02580564382580645
2042-06,24.025,-94.95,0.08485448633333334
2042-07,24.025,-94.95,-0.07196703303225807
2042-08,24.025,-94.95,-0.17856863941935486
2042-09,24.025,-94.95,-0.27403206733333335
2042-10,24.025,-94.95,-0.3018253254838709
2042-11,24.025,-94.95,-0.27844886300000005
2042-12,24.025,-94.95,-0.26314697225806455
2043-01,24.025,-94.95,-0.21517546838709678
2043-02,24.025,-94.95,-0.22607844107142855
2043-03,24.025,-94.95,-0.19588166870967744
2043-04,24.025,-94.95,-0.14266935086666666
2043-05,24.025,-94.95,-0.13777760070967743
2043-06,24.025,-94.95,-0.2938712933333333
2043-07,24.025,-94.95,-0.2824804429032258
2043-08,24.025,-94.95,-0.21971229258064517
2043-09,24.025,-94.95,-0.17572178533333332
2043-10,24.025,-94.95,-0.12200576106451612
2043-11,24.025,-94.95,-0.12112060733333334
2043-12,24.025,-94.95,-0.1334469468387097
2044-01,24.025,-94.95,-0.14491474677419355
2044-02,24.025,-94.95,-0.10941922193103448
2044-03,24.025,-94.95,-0.21510424967741937
2044-04,24.025,-94.95,-0.21735325566666666
2044-05,24.025,-94.95,-0.1398811138387097
2044-06,24.025,-94.95,-0.06207204226666666
2044-07,24.025,-94.95,-0.19908699612903225
2044-08,24.025,-94.95,-0.17337793193548387
2044-09,24.025,-94.95,-0.09350079
2044-10,24.025,-94.95,-0.14428064177419356
2044-11,24.025,-94.95,-0.08367519646666667
2044-12,24.025,-94.95,-0.2126819093548387
2045-01,24.025,-94.95,-0.2661156535483871
2045-02,24.025,-94.95,-0.25256886142857143
2045-03,24.025,-94.95,-0.2531000635483871
2045-04,24.025,-94.95,-0.22080436366666667
2045-05,24.025,-94.95,-0.1474174321935484
2045-06,24.025,-94.95,0.049318486137666664
2045-07,24.025,-94.95,-0.028625321483870966
2045-08,24.025,-94.95,-0.17471211758064517
2045-09,24.025,-94.95,-0.259030466
2045-10,24.025,-94.95,-0.2874228116129032
2045-11,24.025,-94.95,-0.25994408933333335
2045-12,24.025,-94.95,-0.2259274964516129
2046-01,24.025,-94.95,-0.1085956750967742
2046-02,24.025,-94.95,-0.13607461196428572
2046-03,24.025,-94.95,-0.1239889884516129
2046-04,24.025,-94.95,0.01596962570566667
2046-05,24.025,-94.95,-0.060024551096774195
2046-06,24.025,-94.95,-0.1583894165
2046-07,24.025,-94.95,-0.11305233861290323
2046-08,24.025,-94.95,-0.15073535812903227
2046-09,24.025,-94.95,0.0432582921
2046-10,24.025,-94.95,-0.09117513384387096
2046-11,24.025,-94.95,-0.16654561066666668
2046-12,24.025,-94.95,-0.19615449741935484
2047-01,24.025,-94.95,-0.2282835293548387
2047-02,24.025,-94.95,-0.2786031603571429
2047-03,24.025,-94.95,-0.22623284451612904
